youth_id,digital_opportunity_score,opportunity_level
d6f28601-025b-4ae1-b676-29b9eafe76af,59.75,Medium Opportunity
35fb0441-0740-4b62-8ce1-920a10e83df8,64.5,Medium Opportunity
817d6f98-da35-424b-9592-a66c6622a1bc,95.0,High Opportunity
23219f7f-f946-4c2a-8601-c9fce2d1c475,26.25,Low Opportunity
8001f136-055e-4900-bc67-90b31ff81ada,84.0,High Opportunity
b2b359a6-dee3-4b90-a2da-589cf0dbf1f4,70.0,Medium Opportunity
19220dc5-0bcc-4f90-be77-0b4790d75c64,64.5,Medium Opportunity
544ea45c-e2db-46a2-8ebc-712dcf75ff9f,92.0,High Opportunity
723260ab-f0fa-4693-a5c0-817da69484ba,18.5,Low Opportunity
78a4610f-18fe-4ea5-834a-f58d4dc7f4d5,78.75,High Opportunity
08e4c90a-5244-45e9-a252-c555c2934aa1,100.0,High Opportunity
5c0a18a4-7776-404b-8974-f964f6577aeb,75.0,High Opportunity
dac726fa-177d-4cc4-8585-271da534afa4,100.0,High Opportunity
48fa72b8-8244-44cb-8fa5-9588d6b852b8,57.25,Medium Opportunity
a52852ce-6925-4fba-a1c4-043d9cee04f1,53.75,Medium Opportunity
235d42fd-e664-4b01-90d0-b24c91467603,47.5,Low Opportunity
d38a4a8e-3d13-4f60-ae09-0d4a62140edc,25.5,Low Opportunity
5dbbc874-5e5f-4aab-a587-cc5132720c80,56.0,Medium Opportunity
9f938037-0f9c-4ec5-864a-bb73c1f294f6,100.0,High Opportunity
89c41540-98ee-4ba0-bee3-5adc526d86cb,75.0,High Opportunity
6d3eaf8f-49de-49af-b9d4-465644348bea,58.75,Medium Opportunity
08834af4-0d8e-47f8-9c0c-f4e7ea160406,26.0,Low Opportunity
90935e50-19ea-4967-8bcf-3678ab3c0712,41.75,Low Opportunity
6314c3c5-3aef-4de5-9ee8-f2bec96707d5,95.0,High Opportunity
7fad4283-20e3-47d0-9526-d90767e881de,97.0,High Opportunity
6cd46433-0c42-495d-a515-78da2dc57986,100.0,High Opportunity
5ca8f087-14a9-495a-be0b-891837782de2,51.5,Medium Opportunity
f2b52712-e5e9-4038-aebc-d4b6eca02c36,100.0,High Opportunity
65445419-f12e-4508-9c18-79f8ce397765,79.75,High Opportunity
9350911b-8428-4ceb-875f-021e0d406bbd,100.0,High Opportunity
0de37cbb-fbb0-4e4e-bd5f-f65084ac02a5,100.0,High Opportunity
994a8ead-b97d-461a-b770-6d372145ddb2,77.75,High Opportunity
7ec2952f-85c3-443b-9035-36b37a7e6af2,91.0,High Opportunity
42e0a580-6c8c-463b-829d-7c5eba840ea6,79.5,High Opportunity
d4519def-8f48-4cc5-ade5-c49cc4f7b9b4,53.25,Medium Opportunity
e43d293d-303b-42d6-be78-92311ff55529,13.75,Low Opportunity
c00409a8-1804-47c3-b696-2f82490bba28,90.0,High Opportunity
602545ee-8e0b-4a13-ba22-faaee601e1ad,58.75,Medium Opportunity
c2face92-553d-45fc-9e9e-8cbc1f61c753,50.0,Medium Opportunity
8cca3a01-96b3-4200-99b3-23b73df5ee79,50.5,Medium Opportunity
04af527e-a147-451c-b4a2-976d7fb1dc98,62.0,Medium Opportunity
cbecc7e3-2a6d-47fe-a906-cd94126e2b0d,53.75,Medium Opportunity
4335efd2-9004-4140-86b0-d8fc47cdf114,100.0,High Opportunity
7f418b9c-146c-43ab-af43-97baa429fc4b,52.0,Medium Opportunity
4aeb9969-55d0-41e7-a3a4-22d102ebbf5b,54.0,Medium Opportunity
77c93407-09ac-4252-ac63-e2277a0389dc,33.5,Low Opportunity
099e1b69-7554-42b1-af4c-790cd8ccbc7e,45.75,Low Opportunity
3d8173e5-3070-4053-87b9-da8f77b52aea,65.0,Medium Opportunity
e542cc35-0e56-40eb-92c8-3c9daefb9fdd,95.0,High Opportunity
789bdcf8-8fab-4a38-bee1-10cbf70023db,59.25,Medium Opportunity
05847686-0933-4ca2-a8a8-423a73230b23,78.75,High Opportunity
b708be00-fe14-4aa7-95ca-ece7402ba094,84.75,High Opportunity
0f2af93d-59fd-452e-96ce-07d9316bd339,84.75,High Opportunity
c5f5b4db-1c29-438c-bbd2-f0f0f3ec8933,55.5,Medium Opportunity
a44bc1f4-75dd-432b-8d1c-06f407a0fe36,41.25,Low Opportunity
88fafa78-12d9-437d-99c6-2a2631069f21,58.0,Medium Opportunity
8f5e02af-a048-4483-a967-42871348430f,88.5,High Opportunity
8aa89add-ed2b-4db4-8ad7-37e1fe33d17f,53.5,Medium Opportunity
cd0c3076-46b4-4360-8f8c-07d32729dd9d,83.75,High Opportunity
888b1f11-2825-4490-8d61-7923244385bd,95.0,High Opportunity
37672d33-8e9d-4e3b-a58d-58df8e8246c1,90.0,High Opportunity
c9505bce-5df3-43ef-b7ce-ad6e225359ec,52.25,Medium Opportunity
17896a61-1de4-487d-8ad5-8b2e675cdbcf,56.75,Medium Opportunity
414df209-00e0-4c33-a95e-6f8182db4f61,20.25,Low Opportunity
c047721d-6089-443c-9a06-96d2535fb419,55.25,Medium Opportunity
6a39ef4e-9dc2-450b-aa41-f15e7daa09c1,100.0,High Opportunity
002c72f9-8f01-46fe-9073-49370688bcf6,27.25,Low Opportunity
0c74db31-535a-42e7-b944-b4c01041e6b4,20.25,Low Opportunity
8768bc24-93de-4878-a0f6-476bf4702658,71.25,Medium Opportunity
aa5213a0-6550-49dc-9d4a-52e921839253,58.0,Medium Opportunity
e5ecd40b-6c5b-4934-8a5e-e5fb72d18679,91.25,High Opportunity
5deab89d-e2a8-4e93-88c0-e6c1a6542b81,12.75,Low Opportunity
c0dc1bae-4af3-4a14-bcb5-24afd70521cd,57.5,Medium Opportunity
066c944f-13d2-4cb7-bdec-7796b760026b,70.0,Medium Opportunity
214f1dc1-82e7-4f7c-88de-60dc23b25022,82.5,High Opportunity
d4ef5177-cc32-4873-9f68-3bacf7c4eb28,34.0,Low Opportunity
7db01a1b-f545-42f6-b6fa-29fa61ba2975,52.75,Medium Opportunity
9833a21e-1e64-47b7-9a49-2850c29a9bef,40.0,Low Opportunity
e8d69a2f-d17e-4fb6-ba44-619232a5b17d,100.0,High Opportunity
3948d524-5d1d-4cf1-8bf6-d2276fd5027f,89.5,High Opportunity
74a78037-f112-44b7-8205-f4be5318687e,100.0,High Opportunity
c89f771a-f588-4c31-b1c1-6ab77ffe6d19,100.0,High Opportunity
282b9411-ff88-4c3d-834d-9d18a9d8051d,28.0,Low Opportunity
2268fecc-24ea-4178-be93-f47751322459,42.75,Low Opportunity
5f68fe37-26ce-47cf-987a-4c89b790bc91,99.0,High Opportunity
31d6dbf4-df60-4ed8-8f55-4fb13b343e75,52.25,Medium Opportunity
e320dca3-d144-485e-bab5-1c4796e50d76,90.0,High Opportunity
0fcd24e4-42ea-41d5-b27c-a51109cfab3a,52.5,Medium Opportunity
115d7938-488d-4ec7-b656-ba696a99395d,53.5,Medium Opportunity
595ee0e8-f7a8-46fe-be09-311d5e5fd19f,72.75,Medium Opportunity
bffbe29b-4b76-4136-aa5f-0a2f03ffb590,59.0,Medium Opportunity
c19e9e76-3ef5-4a29-873c-13eb187042f5,51.25,Medium Opportunity
894a58f1-ce75-4f80-a058-ddf2edecf96e,13.25,Low Opportunity
2296e105-ec26-4738-824f-e7fd3aa27f9c,37.25,Low Opportunity
c06d2a62-e33e-446e-81aa-35f5d9d53f17,71.0,Medium Opportunity
daf25346-ea48-4fc4-b872-0c12778a8f88,26.25,Low Opportunity
929b4d18-2ed7-4148-a3d5-2008e1c534b5,16.5,Low Opportunity
46dbf409-92c0-4f9c-8d21-5864e5649294,59.0,Medium Opportunity
371a8a4b-0993-4cc6-9b26-3168412f9176,83.25,High Opportunity
fb8422bf-0582-48f6-a85f-aceffc28c22c,69.75,Medium Opportunity
432ab286-59ee-4d05-be4e-623d53566c3d,85.0,High Opportunity
8440fc09-5832-45ba-8e0f-095ae30917a4,19.0,Low Opportunity
1deb0247-5265-4038-935e-c78a4d1d1739,50.25,Medium Opportunity
3682b050-7728-48b5-8e4f-132d2c116f0e,95.0,High Opportunity
18994613-d4c3-4cc3-836d-fda9f1bb9ee8,75.0,High Opportunity
3452cf55-34f9-49d4-9a68-4e8ce82994c0,70.5,Medium Opportunity
acaa9749-8123-405f-afaa-9574e5ec98e1,84.5,High Opportunity
84ab20dc-f242-4743-9820-e10b1fd77f48,14.75,Low Opportunity
2f0b7bde-7fe5-4a85-953e-74a49d7532fd,75.25,High Opportunity
3bd22a4f-81b3-4c5b-96eb-1ebd5bfaf013,14.0,Low Opportunity
8b6bb008-d8b5-4405-b1e3-86ca8329ec8f,84.5,High Opportunity
7180b21a-293f-4204-bf65-c712a0198565,90.0,High Opportunity
e9a16ee2-50eb-44cb-b81d-0f41aaea18b9,90.0,High Opportunity
15f7aafe-b2ad-4c09-a65e-70cadda83a35,77.0,High Opportunity
7a63fe65-b5cf-408c-ae5b-3d1d1c2c9d96,100.0,High Opportunity
dbe9dca2-a959-4afc-bb43-4551c269a19e,45.0,Low Opportunity
c8c42629-dec1-4731-99e2-1d6f1137eb61,91.25,High Opportunity
a569cdd5-a4bc-4c85-b321-873bdffc7903,44.75,Low Opportunity
5b2d2e89-ead9-427f-beb1-d3d648a70d42,85.0,High Opportunity
5149cf47-d26b-40bf-bf5d-165a75902111,19.75,Low Opportunity
b624948e-e331-4737-bb5a-d56bb57e675a,52.0,Medium Opportunity
e4f6a77f-7801-47da-8703-243203ca970c,47.0,Low Opportunity
29335d71-7ea4-42f1-bfe3-12d5d0856ac8,19.75,Low Opportunity
fb1cf81b-b223-4d49-841a-66ed4317ac75,82.5,High Opportunity
cad570c3-29b9-4a88-9ff9-568309a868f7,44.25,Low Opportunity
eaf7f7c3-efd6-4936-b787-a355b34166c8,90.25,High Opportunity
