youth_id,job_search_status,internship_completed,job_placement,income_band
d6f28601-025b-4ae1-b676-29b9eafe76af,Not actively searching,0,1,Lower-middle
35fb0441-0740-4b62-8ce1-920a10e83df8,Actively searching,0,1,Middle
817d6f98-da35-424b-9592-a66c6622a1bc,Not actively searching,0,1,Middle
23219f7f-f946-4c2a-8601-c9fce2d1c475,Not actively searching,1,0,Low
8001f136-055e-4900-bc67-90b31ff81ada,Not actively searching,1,0,Lower-middle
b2b359a6-dee3-4b90-a2da-589cf0dbf1f4,Not actively searching,1,1,Middle
19220dc5-0bcc-4f90-be77-0b4790d75c64,Not actively searching,1,0,Lower-middle
544ea45c-e2db-46a2-8ebc-712dcf75ff9f,Actively searching,0,1,Middle
723260ab-f0fa-4693-a5c0-817da69484ba,Not actively searching,1,0,Low
78a4610f-18fe-4ea5-834a-f58d4dc7f4d5,Actively searching,0,0,Lower-middle
08e4c90a-5244-45e9-a252-c555c2934aa1,Not actively searching,1,1,Middle
5c0a18a4-7776-404b-8974-f964f6577aeb,Actively searching,1,1,Middle
dac726fa-177d-4cc4-8585-271da534afa4,Not actively searching,1,1,Middle
48fa72b8-8244-44cb-8fa5-9588d6b852b8,Not actively searching,0,0,Lower-middle
a52852ce-6925-4fba-a1c4-043d9cee04f1,Not actively searching,1,0,Lower-middle
235d42fd-e664-4b01-90d0-b24c91467603,Not actively searching,0,1,Lower-middle
d38a4a8e-3d13-4f60-ae09-0d4a62140edc,Not actively searching,0,0,Low
5dbbc874-5e5f-4aab-a587-cc5132720c80,Not actively searching,0,0,Lower-middle
9f938037-0f9c-4ec5-864a-bb73c1f294f6,Actively searching,0,1,Middle
89c41540-98ee-4ba0-bee3-5adc526d86cb,Not actively searching,1,0,Lower-middle
6d3eaf8f-49de-49af-b9d4-465644348bea,Actively searching,0,0,Lower-middle
08834af4-0d8e-47f8-9c0c-f4e7ea160406,Actively searching,0,1,Low
90935e50-19ea-4967-8bcf-3678ab3c0712,Not actively searching,0,0,Low
6314c3c5-3aef-4de5-9ee8-f2bec96707d5,Actively searching,0,1,Middle
7fad4283-20e3-47d0-9526-d90767e881de,Actively searching,0,1,Lower-middle
6cd46433-0c42-495d-a515-78da2dc57986,Not actively searching,0,1,Middle
5ca8f087-14a9-495a-be0b-891837782de2,Actively searching,0,1,Lower-middle
f2b52712-e5e9-4038-aebc-d4b6eca02c36,Actively searching,1,0,Lower-middle
65445419-f12e-4508-9c18-79f8ce397765,Not actively searching,0,1,Lower-middle
9350911b-8428-4ceb-875f-021e0d406bbd,Not actively searching,1,1,Middle
0de37cbb-fbb0-4e4e-bd5f-f65084ac02a5,Actively searching,1,1,Middle
994a8ead-b97d-461a-b770-6d372145ddb2,Not actively searching,0,1,Lower-middle
7ec2952f-85c3-443b-9035-36b37a7e6af2,Not actively searching,0,1,Lower-middle
42e0a580-6c8c-463b-829d-7c5eba840ea6,Not actively searching,0,1,Lower-middle
d4519def-8f48-4cc5-ade5-c49cc4f7b9b4,Not actively searching,0,0,Lower-middle
e43d293d-303b-42d6-be78-92311ff55529,Not actively searching,0,0,Low
c00409a8-1804-47c3-b696-2f82490bba28,Actively searching,1,1,Middle
602545ee-8e0b-4a13-ba22-faaee601e1ad,Actively searching,1,0,Lower-middle
c2face92-553d-45fc-9e9e-8cbc1f61c753,Actively searching,0,0,Low
8cca3a01-96b3-4200-99b3-23b73df5ee79,Not actively searching,1,0,Low
04af527e-a147-451c-b4a2-976d7fb1dc98,Actively searching,0,0,Lower-middle
cbecc7e3-2a6d-47fe-a906-cd94126e2b0d,Not actively searching,0,1,Lower-middle
4335efd2-9004-4140-86b0-d8fc47cdf114,Not actively searching,1,1,Middle
7f418b9c-146c-43ab-af43-97baa429fc4b,Actively searching,1,1,Lower-middle
4aeb9969-55d0-41e7-a3a4-22d102ebbf5b,Not actively searching,0,1,Lower-middle
77c93407-09ac-4252-ac63-e2277a0389dc,Not actively searching,0,1,Low
099e1b69-7554-42b1-af4c-790cd8ccbc7e,Not actively searching,0,0,Low
