youth_id,digital_skill_score,communication_score,problem_solving_score,english_score,career_readiness_score
d6f28601-025b-4ae1-b676-29b9eafe76af,65,36,31,37,46
35fb0441-0740-4b62-8ce1-920a10e83df8,100,41,40,35,65
817d6f98-da35-424b-9592-a66c6622a1bc,100,47,52,45,69
23219f7f-f946-4c2a-8601-c9fce2d1c475,42,34,24,32,34
8001f136-055e-4900-bc67-90b31ff81ada,85,41,34,36,57
b2b359a6-dee3-4b90-a2da-589cf0dbf1f4,100,32,40,34,61
19220dc5-0bcc-4f90-be77-0b4790d75c64,80,37,39,41,56
544ea45c-e2db-46a2-8ebc-712dcf75ff9f,91,51,39,42,61
723260ab-f0fa-4693-a5c0-817da69484ba,12,29,23,22,22
78a4610f-18fe-4ea5-834a-f58d4dc7f4d5,66,37,32,26,47
08e4c90a-5244-45e9-a252-c555c2934aa1,100,46,47,45,68
5c0a18a4-7776-404b-8974-f964f6577aeb,100,50,45,42,70
dac726fa-177d-4cc4-8585-271da534afa4,100,48,40,41,67
48fa72b8-8244-44cb-8fa5-9588d6b852b8,63,27,35,34,47
a52852ce-6925-4fba-a1c4-043d9cee04f1,76,33,38,34,49
235d42fd-e664-4b01-90d0-b24c91467603,68,26,30,37,45
d38a4a8e-3d13-4f60-ae09-0d4a62140edc,56,32,33,31,42
5dbbc874-5e5f-4aab-a587-cc5132720c80,76,43,41,30,55
9f938037-0f9c-4ec5-864a-bb73c1f294f6,100,45,46,44,68
89c41540-98ee-4ba0-bee3-5adc526d86cb,100,49,45,42,67
6d3eaf8f-49de-49af-b9d4-465644348bea,75,27,33,29,47
08834af4-0d8e-47f8-9c0c-f4e7ea160406,63,33,24,31,43
90935e50-19ea-4967-8bcf-3678ab3c0712,18,19,21,25,25
6314c3c5-3aef-4de5-9ee8-f2bec96707d5,100,37,43,36,64
7fad4283-20e3-47d0-9526-d90767e881de,89,43,33,40,56
6cd46433-0c42-495d-a515-78da2dc57986,100,46,45,52,69
5ca8f087-14a9-495a-be0b-891837782de2,76,36,40,34,53
f2b52712-e5e9-4038-aebc-d4b6eca02c36,100,44,41,41,67
65445419-f12e-4508-9c18-79f8ce397765,77,25,27,41,49
9350911b-8428-4ceb-875f-021e0d406bbd,100,46,45,46,68
0de37cbb-fbb0-4e4e-bd5f-f65084ac02a5,100,44,44,44,68
994a8ead-b97d-461a-b770-6d372145ddb2,75,37,39,36,53
7ec2952f-85c3-443b-9035-36b37a7e6af2,83,29,38,46,55
42e0a580-6c8c-463b-829d-7c5eba840ea6,71,38,27,34,46
d4519def-8f48-4cc5-ade5-c49cc4f7b9b4,76,30,30,28,49
e43d293d-303b-42d6-be78-92311ff55529,27,25,19,25,27
c00409a8-1804-47c3-b696-2f82490bba28,100,46,48,50,70
602545ee-8e0b-4a13-ba22-faaee601e1ad,69,34,28,31,46
c2face92-553d-45fc-9e9e-8cbc1f61c753,31,31,20,25,28
8cca3a01-96b3-4200-99b3-23b73df5ee79,64,31,30,33,43
